Module,Item,Field,English,Bahasa Indonesia
Orders,Order Deadline Overdue,Email body,Order [Number] passed its deadline on [Deadline Date] and remains [Status].,Order [Number] melewati batas waktu pada [Deadline Date] dan tetap berstatus [Status].
Orders,Order Deadline Overdue,Email CTA,See Detail,Lihat Detail
Orders,Changed to Completed,Description,Notifies eligible users with access to the related Order when its status changes to Completed.,Memberi tahu pengguna yang memiliki akses ke Order terkait ketika statusnya berubah menjadi Completed.
Orders,Changed to Completed,In-app content,"Order [Number] has been completed
The Order status changed to Completed.
CTA: See Detail","Order [Number] telah selesai
Status Order berubah menjadi Completed.
CTA: Lihat Detail"
Orders,Changed to Completed,Email subject,Order [Number] has been completed,Order [Number] telah selesai
Orders,Changed to Completed,Email body,The Order status changed to Completed.,Status Order berubah menjadi Completed.
Orders,Changed to Completed,Email CTA,See Detail,Lihat Detail
Orders,Changed to Cancelled,Description,Notifies eligible users with access to the related Order when its status changes to Cancelled.,Memberi tahu pengguna yang memiliki akses ke Order terkait ketika statusnya berubah menjadi Cancelled.
Orders,Changed to Cancelled,In-app content,"Order [Number] was cancelled
The Order status changed to Cancelled by [Updated By].
CTA: See Detail","Order [Number] dibatalkan
Status Order berubah menjadi Cancelled oleh [Updated By].
CTA: Lihat Detail"
Orders,Changed to Cancelled,Email subject,Order [Number] was cancelled,Order [Number] dibatalkan
Orders,Changed to Cancelled,Email body,The Order status changed to Cancelled by [Updated By].,Status Order berubah menjadi Cancelled oleh [Updated By].
Orders,Changed to Cancelled,Email CTA,See Detail,Lihat Detail
Invoice,(module),Title,Invoice,Faktur
Invoice,(module),Description,"Invoice due-date reminders, overdue alerts, Customer Portal outcomes, and payment proof review. Invoice has no internal approval/revision flow.","Pengingat tanggal jatuh tempo Faktur, notifikasi keterlambatan, aktivitas Portal Pelanggan, dan peninjauan bukti pembayaran. Faktur tidak memiliki alur persetujuan atau revisi internal."
Invoice,Invoice Revision Requested by Customer,Description,Notifies the Invoice owner or Customer Portal sender when the customer requests changes to the Invoice.,Memberi tahu pemilik Invoice atau pengirim Customer Portal ketika pelanggan meminta perubahan pada Invoice.
Invoice,Invoice Revision Requested by Customer,In-app content,"Invoice [Number] revision requested by the customer
[Customer Name] requested changes on Invoice [Number] through the Customer Portal.
CTA: See Detail","Revisi Invoice [Number] diminta oleh pelanggan
[Customer Name] meminta perubahan pada Invoice [Number] melalui Customer Portal.
CTA: Lihat Detail"
Invoice,Invoice Revision Requested by Customer,Email subject,Invoice [Number] revision requested by the customer,Revisi Invoice [Number] diminta oleh pelanggan
Invoice,Invoice Revision Requested by Customer,Email body,[Customer Name] requested changes on Invoice [Number] through the Customer Portal.,[Customer Name] meminta perubahan pada Invoice [Number] melalui Customer Portal.
Invoice,Invoice Revision Requested by Customer,Email CTA,See Detail,Lihat Detail
Invoice,Invoice Approved by Customer,Description,Notifies the Invoice owner or Customer Portal sender when the customer approves the Invoice.,Memberi tahu pemilik Invoice atau pengirim Customer Portal ketika pelanggan menyetujui Invoice.
Invoice,Invoice Approved by Customer,In-app content,"Invoice [Number] was approved by the customer
[Customer Name] approved Invoice [Number] through the Customer Portal.
CTA: See Detail","Invoice [Number] disetujui oleh pelanggan
[Customer Name] menyetujui Invoice [Number] melalui Customer Portal.
CTA: Lihat Detail"
Invoice,Invoice Approved by Customer,Email subject,Invoice [Number] was approved by the customer,Invoice [Number] disetujui oleh pelanggan
Invoice,Invoice Approved by Customer,Email body,[Customer Name] approved Invoice [Number] through the Customer Portal.,[Customer Name] menyetujui Invoice [Number] melalui Customer Portal.
Invoice,Invoice Approved by Customer,Email CTA,See Detail,Lihat Detail
Invoice,Invoice Rejected by Customer,Description,Notifies the Invoice owner or Customer Portal sender when the customer rejects the Invoice.,Memberi tahu pemilik Invoice atau pengirim Customer Portal ketika pelanggan menolak Invoice.
Invoice,Invoice Rejected by Customer,In-app content,"Invoice [Number] was rejected by the customer
[Customer Name] rejected Invoice [Number] through the Customer Portal.
CTA: See Detail","Invoice [Number] ditolak oleh pelanggan
[Customer Name] menolak Invoice [Number] melalui Customer Portal.
CTA: Lihat Detail"
Invoice,Invoice Rejected by Customer,Email subject,Invoice [Number] was rejected by the customer,Invoice [Number] ditolak oleh pelanggan
Invoice,Invoice Rejected by Customer,Email body,[Customer Name] rejected Invoice [Number] through the Customer Portal.,[Customer Name] menolak Invoice [Number] melalui Customer Portal.
Invoice,Invoice Rejected by Customer,Email CTA,See Detail,Lihat Detail
Invoice,Due Date Approaching,Description,"Reminds eligible users with Invoices access before an unpaid Invoice reaches its due date, based on the configured reminder timing.","Mengingatkan pengguna yang memiliki Izin Akses Invoices sebelum Invoice yang belum dibayar mencapai tanggal jatuh tempo, sesuai waktu pengingat yang telah dikonfigurasi."
Invoice,Due Date Approaching,In-app content,"Invoice [Number] is approaching its due date
The due date is [Due Date]. Outstanding amount: [Amount] [Currency].
CTA: See Detail","Invoice [Number] mendekati tanggal jatuh tempo
Tanggal jatuh tempo adalah [Due Date]. Sisa tagihan: [Amount] [Currency].
CTA: Lihat Detail"
Invoice,Due Date Approaching,Email subject,Invoice [Number] is approaching its due date,Invoice [Number] mendekati tanggal jatuh tempo
Invoice,Due Date Approaching,Email body,Invoice [Number] is approaching its due date on [Due Date]. Outstanding amount: [Amount] [Currency].,Invoice [Number] mendekati tanggal jatuh tempo pada [Due Date]. Sisa tagihan: [Amount] [Currency].
Invoice,Due Date Approaching,Email CTA,See Detail,Lihat Detail
Invoice,Invoice Overdue,Description,Notifies eligible users with Invoices access when an unpaid Invoice has passed its due date.,Memberi tahu pengguna yang memiliki Izin Akses Invoices ketika Invoice yang belum dibayar telah melewati tanggal jatuh tempo.
Invoice,Invoice Overdue,In-app content,"Invoice [Number] is overdue
The invoice was due on [Due Date]. Outstanding amount: [Amount] [Currency].
CTA: See Detail","Invoice [Number] terlambat
Invoice jatuh tempo pada [Due Date]. Sisa tagihan: [Amount] [Currency].
CTA: Lihat Detail"
Invoice,Invoice Overdue,Email subject,Invoice [Number] is overdue,Invoice [Number] terlambat
Invoice,Invoice Overdue,Email body,Invoice [Number] passed its due date on [Due Date]. Outstanding amount: [Amount] [Currency].,Invoice [Number] melewati tanggal jatuh tempo pada [Due Date]. Sisa tagihan: [Amount] [Currency].
Invoice,Invoice Overdue,Email CTA,See Detail,Lihat Detail
Invoice,Payment Proof Submitted,Description,Notifies the Invoice owner or responsible reviewer when a customer uploads payment proof through the Customer Portal.,Memberi tahu pemilik Invoice atau peninjau yang bertanggung jawab ketika pelanggan mengunggah bukti pembayaran melalui Customer Portal.
Invoice,Payment Proof Submitted,In-app content,"Payment proof submitted for Invoice [Number]
[Customer Name] submitted payment proof for Invoice [Number]. Please review.
CTA: See Detail","Bukti pembayaran dikirim untuk Invoice [Number]
[Customer Name] mengirim bukti pembayaran untuk Invoice [Number]. Tinjau.
CTA: Lihat Detail"
Invoice,Payment Proof Submitted,Email subject,Payment proof submitted for Invoice [Number],Bukti pembayaran dikirim untuk Invoice [Number]
Invoice,Payment Proof Submitted,Email body,[Customer Name] submitted payment proof for Invoice [Number]. Please review.,[Customer Name] mengirim bukti pembayaran untuk Invoice [Number]. Tinjau.
Invoice,Payment Proof Submitted,Email CTA,See Detail,Lihat Detail
Invoice,Payment Proof Rejected,Description,Notifies the customer when their payment proof is rejected and must be uploaded again.,Memberi tahu pelanggan ketika bukti pembayarannya ditolak dan harus diunggah ulang.
Invoice,Payment Proof Rejected,In-app content,"Payment proof for Invoice [Number] was rejected
Your payment proof for Invoice [Number] was rejected. Reason: [Reason]. Please re-upload.
CTA: See Detail","Bukti pembayaran untuk Invoice [Number] ditolak
Bukti pembayaran Anda untuk Invoice [Number] ditolak. Alasan: [Reason]. Unggah ulang.
CTA: Lihat Detail"
Invoice,Payment Proof Rejected,Email subject,Payment proof for Invoice [Number] was rejected,Bukti pembayaran untuk Invoice [Number] ditolak
Invoice,Payment Proof Rejected,Email body,Your payment proof for Invoice [Number] was rejected. Reason: [Reason]. Please re-upload the payment proof.,Bukti pembayaran Anda untuk Invoice [Number] ditolak. Alasan: [Reason]. Unggah ulang bukti pembayaran.
Invoice,Payment Proof Rejected,Email CTA,Re-upload payment proof,Unggah ulang bukti pembayaran
Purchase Order,(module),Title,Purchase Order,Purchase Order
Purchase Order,(module),Description,Purchase Order payment and expected-end-date tracking. Sent to subscribed users with Purchase Order access.,Pemantauan pembayaran dan estimasi tanggal selesai Purchase Order. Dikirim kepada pengguna yang berlangganan dan memiliki Izin Akses Purchase Order.
Purchase Order,Expected End Date Approaching,Description,"Reminds eligible users with Purchase Orders access before a Purchase Order reaches its expected end date, based on the configured reminder timing.","Mengingatkan pengguna yang memiliki Izin Akses Purchase Orders sebelum Purchase Order mencapai tanggal selesai yang diperkirakan, sesuai waktu pengingat yang telah dikonfigurasi."
Purchase Order,Expected End Date Approaching,In-app content,"Purchase Order [Number] is approaching its expected end date
The expected end date is [Expected End Date]. Current status: [Status].
CTA: See Detail","Purchase Order [Number] mendekati tanggal selesai yang diperkirakan
Tanggal selesai yang diharapkan adalah [Expected End Date]. Status saat ini: [Status].
CTA: Lihat Detail"
Purchase Order,Expected End Date Approaching,Email subject,Purchase Order [Number] is approaching its expected end date,Purchase Order [Number] mendekati tanggal selesai yang diperkirakan
Purchase Order,Expected End Date Approaching,Email body,Purchase Order [Number] is approaching its expected end date on [Expected End Date]. Current status: [Status].,Purchase Order [Number] mendekati tanggal selesai yang diperkirakan pada [Expected End Date]. Status saat ini: [Status].
Purchase Order,Expected End Date Approaching,Email CTA,See Detail,Lihat Detail
Purchase Order,Expected End Date Overdue,Description,Notifies eligible users with Purchase Orders access when a Purchase Order remains incomplete after its expected end date.,Memberi tahu pengguna yang memiliki Izin Akses Purchase Orders ketika Purchase Order masih belum selesai setelah melewati tanggal selesai yang diperkirakan.
Purchase Order,Expected End Date Overdue,In-app content,"Purchase Order [Number] is overdue against its expected end date
The expected end date was [Expected End Date]. Current status: [Status].
CTA: See Detail","Purchase Order [Number] melewati tanggal selesai yang diharapkan
Tanggal selesai yang diharapkan adalah [Expected End Date]. Status saat ini: [Status].
CTA: Lihat Detail"
Purchase Order,Expected End Date Overdue,Email subject,Purchase Order [Number] is overdue,Purchase Order [Number] terlambat
Purchase Order,Expected End Date Overdue,Email body,Purchase Order [Number] passed its expected end date on [Expected End Date] and remains [Status].,Purchase Order [Number] melewati tanggal selesai yang diperkirakan pada [Expected End Date] dan tetap berstatus [Status].
Purchase Order,Expected End Date Overdue,Email CTA,See Detail,Lihat Detail
Purchase Order,Payment Overdue,Description,Notifies eligible users with Purchase Orders access when a Purchase Order remains unpaid after its payment due date.,Memberi tahu pengguna yang memiliki Izin Akses Purchase Orders ketika Purchase Order masih belum dibayar setelah melewati tanggal jatuh tempo pembayaran.
Purchase Order,Payment Overdue,In-app content,"Payment for Purchase Order [Number] is overdue
The payment due date was [Due Date]. Outstanding amount: [Amount] [Currency].
CTA: See Detail","Pembayaran Purchase Order [Number] terlambat
Tanggal jatuh tempo pembayaran adalah [Due Date]. Sisa pembayaran: [Amount] [Currency].
CTA: Lihat Detail"
Purchase Order,Payment Overdue,Email subject,Payment for Purchase Order [Number] is overdue,Pembayaran Purchase Order [Number] terlambat
Purchase Order,Payment Overdue,Email body,Payment for Purchase Order [Number] passed its due date on [Due Date]. Outstanding amount: [Amount] [Currency].,Pembayaran Purchase Order [Number] melewati tanggal jatuh tempo pada [Due Date]. Sisa pembayaran: [Amount] [Currency].
Purchase Order,Payment Overdue,Email CTA,See Detail,Lihat Detail
Bulk Upload,(module),Title,Bulk Upload,Bulk Upload
Bulk Upload,(module),Description,Bulk upload lifecycle events for Product Catalog and Materials. Sent only to the user who initiated the upload.,Peristiwa siklus bulk upload untuk Katalog Produk dan Material. Dikirim hanya kepada pengguna yang memulai unggahan.
Bulk Upload,Bulk Import Ready for Review,Description,Notifies the user who initiated a Product Catalog or Materials bulk upload when AI normalization is completed and the batch is ready for review.,Memberi tahu pengguna yang memulai bulk upload Katalog Produk atau Material ketika normalisasi AI selesai dan batch siap untuk ditinjau.
Bulk Upload,Bulk Import Ready for Review,In-app content,"Your [Data Type] bulk upload is ready for review
Your bulk upload data has been processed and is ready for review before confirming the import.
CTA: Review Bulk Upload","Bulk upload [Data Type] Anda siap untuk ditinjau
Data bulk upload Anda telah diproses dan siap ditinjau sebelum impor dikonfirmasi.
CTA: Tinjau Bulk Upload"
Bulk Upload,Bulk Import Ready for Review,Email subject,Your [Data Type] Bulk Upload is Ready for Review,Bulk Upload [Data Type] Anda Siap untuk Ditinjau
Bulk Upload,Bulk Import Ready for Review,Email body,"Your [Data Type] bulk upload data is ready for review. You can open the Bulk Upload page to review the normalized data before confirming the import.
Upload ID: [Upload ID]
File: [File Name]","Data bulk upload [Data Type] Anda siap untuk ditinjau. Anda dapat melihat halaman Bulk Upload untuk meninjau data yang telah dinormalisasi sebelum mengonfirmasi impor.
Upload ID: [Upload ID]
File: [File Name]"
Bulk Upload,Bulk Import Ready for Review,Email CTA,Review Bulk Upload,Tinjau Bulk Upload
Bulk Upload,Bulk Import Completed,Description,Notifies the user who initiated a Product Catalog or Materials bulk upload when all batches have been processed and the import is complete.,Memberi tahu pengguna yang memulai bulk upload Katalog Produk atau Material ketika seluruh batch telah diproses dan impor selesai.
Bulk Upload,Bulk Import Completed,In-app content,"Your [Data Type] bulk upload is complete
Your bulk upload has been completed. You can open the Bulk Upload page to review the result.
CTA: View Result","Bulk upload [Data Type] Anda selesai
Bulk upload Anda telah selesai. Anda dapat melihat hasil impor melalui halaman Bulk Upload.
CTA: Lihat Hasil"
Bulk Upload,Bulk Import Completed,Email subject,Your [Data Type] Bulk Upload is Completed,Bulk Upload [Data Type] Anda Selesai
Bulk Upload,Bulk Import Completed,Email body,"Your [Data Type] bulk upload has been completed. You can open the Bulk Upload page to review the result.
Upload ID: [Upload ID]
File: [File Name]","Bulk upload [Data Type] Anda telah selesai. Anda dapat melihat hasil impor melalui halaman Bulk Upload.
Upload ID: [Upload ID]
File: [File Name]"
Bulk Upload,Bulk Import Completed,Email CTA,View Bulk Upload Result,Lihat Hasil Bulk Upload
Bulk Upload,Bulk Import Canceled,Description,Notifies the user who initiated a Product Catalog or Materials bulk upload when the system cancels the import because of an infrastructure or batch-processing failure.,Memberi tahu pengguna yang memulai bulk upload Katalog Produk atau Material ketika sistem membatalkan impor karena kegagalan infrastruktur atau pemrosesan batch.
Bulk Upload,Bulk Import Canceled,In-app content,"Your [Data Type] bulk upload was canceled
Your bulk upload was canceled by the system because an error occurred during processing.
CTA: View Detail","Bulk upload [Data Type] Anda dibatalkan
Bulk upload Anda dibatalkan oleh sistem karena terjadi kesalahan saat proses berlangsung.
CTA: Lihat Detail"
Bulk Upload,Bulk Import Canceled,Email subject,Your [Data Type] Bulk Upload was Canceled,Bulk Upload [Data Type] Anda Dibatalkan
Bulk Upload,Bulk Import Canceled,Email body,"Your [Data Type] bulk upload was canceled by the system. An error occurred during batch processing. Please try uploading your file again or contact our support team for assistance.
Upload ID: [Upload ID]
File: [File Name]","Bulk upload [Data Type] Anda dibatalkan oleh sistem. Terjadi kesalahan saat pemrosesan batch. Coba unggah kembali file Anda atau hubungi tim dukungan jika masalah berlanjut.
Upload ID: [Upload ID]
File: [File Name]"
Bulk Upload,Bulk Import Canceled,Email CTA,See Detail,Lihat Detail
(grouped toggle),wo_receipt_status,Label,Receipt Status Updates,Pembaruan Status Penerimaan
(grouped toggle),wo_receipt_status,Description,Outsourced receipt recorded and fully received updates.,Pembaruan saat penerimaan outsource dicatat dan telah diterima sepenuhnya.
